ID	IDX	DOCULECT	DOCULECTID	CONCEPT	CONCEPT_FROM_PROTO	CONCEPT_ADDED	VALUE	VALUE_UNCERTAIN	TOKENS	NOTE	SOURCE	PROTOFORM	PROTOCONCEPT	ENTRY_IN_SOURCE
110	§6	Proto-Panoan	Proto	sufixo de concordância do intransitivo		0	-ʔaʂ		ʔ a ʂ		Oliveira2014	-ʔaʂ	sufixo de concordância do intransitivo	*-ʔaʂ ‘sufixo de concordância do intransitivo’
111	§6	Kakataibo	Ksh	sufixo de concordância do intransitivo	1		-aʂ		a ʂ			-ʔaʂ	sufixo de concordância do intransitivo	Ksh -aʂ
112	§6	ShipiboKonibo	SK	sufixo de concordância do intransitivo	1		-aʂ		a ʂ			-ʔaʂ	sufixo de concordância do intransitivo	SK -aʂ
113	§6	Kapanawa	Kp	sufixo de concordância do intransitivo	1		-ʔaʂ		ʔ a ʂ			-ʔaʂ	sufixo de concordância do intransitivo	Kp -ʔaʂ
114	§6	Chákobo	Ch	sufixo de concordância do intransitivo	1		-ʔaʂ		ʔ a ʂ			-ʔaʂ	sufixo de concordância do intransitivo	Ch -ʔaʂ
115	§6	Amawáka	A	sufixo de concordância do intransitivo	1		ʔax		ʔ a x			-ʔaʂ	sufixo de concordância do intransitivo	A ʔax
116	§6	Kaxinawá	Kn	sufixo de concordância do intransitivo	1		-a		a			-ʔaʂ	sufixo de concordância do intransitivo	Kn -a
117	§6	Marináwa	M	sufixo de concordância do intransitivo	1		-aʂɨ		a ʂ ɨ			-ʔaʂ	sufixo de concordância do intransitivo	M -aʂɨ
118	§7	Proto-Panoan	Proto	tipo de veneno		0	ʔaʂ[an]-		ʔ a ʂ [ a n ]		Oliveira2014	ʔaʂ[an]-	tipo de veneno	*ʔaʂ[an]- ‘tipo de veneno’
119	§7	Kakataibo	Ksh	pescar con veneno			ʔaˈʂã-		ʔ a ˈʂ ã			ʔaʂ[an]-	tipo de veneno	Ksh ʔaˈʂã- ‘pescar con veneno’
120	§7	ShipiboKonibo	SK	tipo de veneno	1		ʔaˈʂã-		ʔ a ˈʂ ã			ʔaʂ[an]-	tipo de veneno	SK ʔaˈʂã-
121	§7	Kapanawa	Kp	tipo de veneno	1		ʔaˈʂan-		ʔ a ˈʂ a n			ʔaʂ[an]-	tipo de veneno	Kp ʔaˈʂan-
123	§7	Chákobo	Ch	pescar con veneno			ʔaʂa-		ʔ a ʂ a			ʔaʂ[an]-	tipo de veneno	Ch ʔaʂa- ‘pescar con veneno’
125	§7	Yamináwa	Yam	tipo de veneno			aʂã- 		aʂã- 		Faust2002	ʔaʂ[an]-	tipo de veneno	Yam aʂã- (FAUST; LOOS;; 2002)
127	§7	Sharanáwa	Shar	tipo de veneno	1		aʂain		a ʂ ai n			ʔaʂ[an]-	tipo de veneno	Shar aʂain, aʂaan ‘pescar com huaca o barbasco’
128	§7	Sharanáwa	Shar	pescar com huaca o barbasco			aʂaan		a ʂ aa n			ʔaʂ[an]-	tipo de veneno	Shar aʂain, aʂaan ‘pescar com huaca o barbasco’
132	§7	Amawáka	A	tipo de veneno	1		ʔaxã- I		ʔaxã- I			ʔaʂ[an]-	tipo de veneno	A ʔaxã- I
133	§7	Kaxinawá	Kn	veneno			aʂa-		a ʂ a			ʔaʂ[an]-	tipo de veneno	Kn aʂa- ‘veneno’, aʂã- ‘hacer;;  matar con veneno’
134	§7	Kaxinawá	Kn	hacer, matar con veneno			aʂã-		a ʂ ã			ʔaʂ[an]-	tipo de veneno	Kn aʂa- ‘veneno’, aʂã- ‘hacer;;  matar con veneno’
135	§7	Marináwa	M	tipo de veneno	1		ˈaʂã-		ˈa ʂ ã			ʔaʂ[an]-	tipo de veneno	M ˈaʂã-
136	§7	Yawanawá	Yaw	pescaria			aʃan		a ʃ a n			ʔaʂ[an]-	tipo de veneno	Yaw aʃan ‘pescaria’
138	§7	Matís	Mt	ato de passar veneno na seta da zarabatana			aʂ-kin		a ʂ k i n			ʔaʂ[an]-	tipo de veneno	Mt aʂ-kin ‘ato de passar veneno na seta da zarabatana’
140	§8	Proto-Panoan	Proto	anta (Tapirus terrestris)		0	ʔawaɽ		ʔ a w a ɽ		Oliveira2014	ʔawaɽ	anta (Tapirus terrestris)	*ʔawaɽ ‘anta (Tapirus terrestris)’
141	§8	Kakataibo	Ksh	anta (Tapirus terrestris)	1		ʔɔˈɔ		ʔ ɔ ˈɔ			ʔawaɽ	anta (Tapirus terrestris)	Ksh ʔɔˈɔ
142	§8	ShipiboKonibo	SK	tapir			ʔaˈwa		ʔ a ˈw a			ʔawaɽ	anta (Tapirus terrestris)	SK ʔaˈwa ‘tapir’, ʔawarã piti ‘comida de tapir (nombre de planta)’
143	§8	ShipiboKonibo	SK	comida de tapir (nombre de planta)			ʔawarã piti		ʔawarã piti			ʔawaɽ	anta (Tapirus terrestris)	SK ʔaˈwa ‘tapir’, ʔawarã piti ‘comida de tapir (nombre de planta)’
144	§8	Kapanawa	Kp	anta (Tapirus terrestris)	1		ʔaˈa;		ʔ a ˈ a ;			ʔawaɽ	anta (Tapirus terrestris)	Kp ʔaˈa;
145	§8	Marúbo	Mar	anta (Tapirus terrestris)	1		awa		a w a			ʔawaɽ	anta (Tapirus terrestris)	Mar awa
146	§8	Chákobo	Ch	tapir			ʔáwara		ʔ á w a r a			ʔawaɽ	anta (Tapirus terrestris)	Ch ʔáwara ‘tapir’, awá (ZINGG;; 1998)
147	§8	Chákobo	Ch	tapir			awá 		awá 		Zingg1998	ʔawaɽ	anta (Tapirus terrestris)	Ch ʔáwara ‘tapir’, awá (ZINGG;; 1998)
148	§8	Kaxararí	Kax	anta (Tapirus terrestris)	1		[awaˈtʃa]		[ a w a ˈt ʃ a ]			ʔawaɽ	anta (Tapirus terrestris)	Kax [awaˈtʃa]
149	§8	Yamináwa	Yam	anta (Tapirus terrestris)			aɸa 		aɸa 		Faust2002	ʔawaɽ	anta (Tapirus terrestris)	Yam aɸa (FAUST; LOOS;; 2002)
151	§8	Sharanáwa	Shar	anta (Tapirus terrestris)	1		awa		a w a			ʔawaɽ	anta (Tapirus terrestris)	Shar awa, awa-pan
152	§8	Sharanáwa	Shar	anta (Tapirus terrestris)	1		awa-pan		a w a p a n			ʔawaɽ	anta (Tapirus terrestris)	Shar awa, awa-pan
153	§8	Shanenáwa	Shan	anta (Tapirus terrestris)	1		awa		a w a			ʔawaɽ	anta (Tapirus terrestris)	Shan awa
154	§8	Katukina	Kat	anta (Tapirus terrestris)			awa [awˈa] 		awa [awˈa] 		Barros1987	ʔawaɽ	anta (Tapirus terrestris)	Kat awa [awˈa] (BARROS;; 1987)
155	§8	Poyanáwa	Poy	anta (Tapirus terrestris)	1		awa		a w a			ʔawaɽ	anta (Tapirus terrestris)	Poy awa
156	§8	Amawáka	A	anta (Tapirus terrestris)			ʔáá 		ʔáá 		Hyde1980	ʔawaɽ	anta (Tapirus terrestris)	A ʔáá (HYDE;; 1980), áá I
157	§8	Amawáka	A	anta (Tapirus terrestris)	1		áá I		áá I			ʔawaɽ	anta (Tapirus terrestris)	A ʔáá (HYDE;; 1980), áá I
158	§8	Kaxinawá	Kn	anta (Tapirus terrestris)	1		awa		a w a			ʔawaɽ	anta (Tapirus terrestris)	Kn awa
159	§8	Marináwa	M	anta (Tapirus terrestris)	1		áwa		á w a			ʔawaɽ	anta (Tapirus terrestris)	M áwa
160	§8	Yawanawá	Yaw	anta (Tapirus terrestris)	1		aua		aua			ʔawaɽ	anta (Tapirus terrestris)	Yaw aua
161	§8	Korúbo	Ko	anta (Tapirus terrestris)	1		awat		a w a t			ʔawaɽ	anta (Tapirus terrestris)	Ko awat
162	§8	Matís	Mt	anta (Tapirus terrestris)	1		awad		a w a d			ʔawaɽ	anta (Tapirus terrestris)	Mt awad
163	§8	Mayorúna	My	anta (Tapirus terrestris)	1		awad		a w a d			ʔawaɽ	anta (Tapirus terrestris)	My awad
164	§9	Proto-Panoan	Proto	mulher, esposa		0	ʔawi[n]		ʔ a w i [ n ]		Oliveira2014	ʔawi[n]	mulher,  esposa	*ʔawi[n] ‘mulher;;  esposa’
166	§9	ShipiboKonibo	SK	mulher, esposa	1		aˈwi᷈		a ˈw i᷈			ʔawi[n]	mulher,  esposa	SK aˈwi᷈
167	§9	Kapanawa	Kp	mulher, esposa	1		ʔaˈwin		ʔ a ˈw i n			ʔawi[n]	mulher,  esposa	Kp ʔaˈwin
168	§9	Marúbo	Mar	mulher, esposa			ai᷈ 		ai᷈ 		Cesarino2008	ʔawi[n]	mulher,  esposa	Mar ai᷈ (CESARINO;; 2008), aˈi᷈, aˈi᷈vɞ ‘mulher’ (COSTA;; 1992)
169	§9	Marúbo	Mar	mulher, esposa	1		aˈi᷈		a ˈi᷈			ʔawi[n]	mulher,  esposa	Mar ai᷈ (CESARINO;; 2008), aˈi᷈, aˈi᷈vɞ ‘mulher’ (COSTA;; 1992)
170	§9	Marúbo	Mar	mulher			aˈi᷈vɞ		a ˈi᷈ v ɞ		Costa1992	ʔawi[n]	mulher,  esposa	Mar ai᷈ (CESARINO;; 2008), aˈi᷈, aˈi᷈vɞ ‘mulher’ (COSTA;; 1992)
171	§9	Chákobo	Ch	esposa			ʔaˈwini		ʔ a ˈw i n i	 (ver etimologias 3, 386,  498		ʔawi[n]	mulher,  esposa	Ch ʔaˈwini ‘esposa’ (ver etimologias 3;; 386;;  498), awí (ZINGG;; 1998)
172	§9	Chákobo	Ch	esposa			awí 		awí 		Zingg1998	ʔawi[n]	mulher,  esposa	Ch ʔaˈwini ‘esposa’ (ver etimologias 3;; 386;;  498), awí (ZINGG;; 1998)
174	§9	Yamináwa	Yam	mulher, esposa	1		aɸi᷈		a ɸ i᷈			ʔawi[n]	mulher,  esposa	Yam aɸi᷈, aɸini᷈ɸ‘esposa’ (FAUST; LOOS;; 2002)
175	§9	Yamináwa	Yam	esposa			aɸini᷈ɸ		a ɸ i n i᷈ ɸ		Faust2002	ʔawi[n]	mulher,  esposa	Yam aɸi᷈, aɸini᷈ɸ‘esposa’ (FAUST; LOOS;; 2002)
178	§9	Shanenáwa	Shan	mulher, esposa	1		awin		a w i n			ʔawi[n]	mulher,  esposa	Shan awin
179	§9	Katukina	Kat	mulher, esposa	1		ain		ai n			ʔawi[n]	mulher,  esposa	Kat ain
180	§9	Poyanáwa	Poy	mulher, esposa	1		awi᷈		a w i᷈			ʔawi[n]	mulher,  esposa	Poy awi᷈
181	§9	Amawáka	A	mulher, esposa	1		ʔaín		ʔ aí n			ʔawi[n]	mulher,  esposa	A ʔaín, ʔáiní (HYDE;; 1980), ãi᷈
182	§9	Amawáka	A	mulher, esposa			ʔáiní 		ʔáiní 		Hyde1980	ʔawi[n]	mulher,  esposa	A ʔaín, ʔáiní (HYDE;; 1980), ãi᷈
183	§9	Amawáka	A	mulher, esposa	1		ãi᷈		ãi᷈			ʔawi[n]	mulher,  esposa	A ʔaín, ʔáiní (HYDE;; 1980), ãi᷈
184	§9	Kaxinawá	Kn	mulher, esposa	1		ãi᷈		ãi᷈			ʔawi[n]	mulher,  esposa	Kn ãi᷈
185	§9	Marináwa	M	mulher, esposa	1		ˈãwi᷈		ˈã w i᷈			ʔawi[n]	mulher,  esposa	M ˈãwi᷈
186	§9	Yawanawá	Yaw	mulher, esposa	1		auin		aui n			ʔawi[n]	mulher,  esposa	Yaw auin
187	§9	Korúbo	Ko	mulher, esposa	1		awin		a w i n			ʔawi[n]	mulher,  esposa	Ko awin
188	§9	Matís	Mt	mulher, esposa	1		awin		a w i n			ʔawi[n]	mulher,  esposa	Mt awin
189	§9	Mayorúna	My	mulher, esposa	1		awin		a w i n			ʔawi[n]	mulher,  esposa	My awin
190	§9a	Proto-Panoan	Proto	mulher, esposa		0	ʔawi᷈βo		ʔ a w i᷈ β o		Oliveira2014	ʔawi᷈βo	mulher,  esposa	*ʔawi᷈βo
191	§9a	ShipiboKonibo	SK	mulher, esposa	1		ʔaˈi᷈βo		ʔ a ˈi᷈ β o			ʔawi᷈βo	mulher,  esposa	SK ʔaˈi᷈βo
192	§9a	Kapanawa	Kp	mulher, esposa	1		aíβo		aí β o			ʔawi᷈βo	mulher,  esposa	Kp aíβo
193	§9a	Kaxinawá	Kn	mulher, esposa	1		ãi᷈bu		ãi᷈ b u			ʔawi᷈βo	mulher,  esposa	Kn ãi᷈bu
194	§9a	Marináwa	M	mujer			ãi᷈ɸo		ãi᷈ ɸ o			ʔawi᷈βo	mulher,  esposa	M ãi᷈ɸo ‘mujer’
195	§10	Proto-Panoan	Proto	tragar		1	ʔaya-		ʔ aya		Oliveira2014	ʔaya-	**tragar	*ʔaya- ‘**tragar’
196	§10	Kakataibo	Ksh	tragar			ʔee-		ʔ ee			ʔaya-	**tragar	Ksh ʔee- ‘tragar’, ʔe-ti ‘tragar’ (SHELL;; 1987)
197	§10	Kakataibo	Ksh	tragar			ʔe-ti		ʔ e t i		Shell1987	ʔaya-	**tragar	Ksh ʔee- ‘tragar’, ʔe-ti ‘tragar’ (SHELL;; 1987)
199	§10	Kapanawa	Kp	tomar, beber			ʔaʔ-kin		ʔ a ʔ k i n		Loos1998	ʔaya-	**tragar	Kp ʔaʔ-kin ‘tomar;; beber’ (LOOS; LOOS;; 1998)
200	§10	Chákobo	Ch	tomar, beber			a-kaina 		a-kaina 		Zingg1998	ʔaya-	**tragar	Ch a-kaina (ZINGG;; 1998)
201	§10	Amawáka	A	tomar, beber			ʔáya- kin		ʔáya- kin		Hyde1980	ʔaya-	**tragar	A ʔáya- kin ‘tomar;;  beber’ (HYDE;; 1980), aya- II
202	§10	Amawáka	A	tragar	1	1	aya- II		aya- II			ʔaya-	**tragar	A ʔáya- kin ‘tomar;;  beber’ (HYDE;; 1980), aya- II
203	§10	Kaxinawá	Kn	beber mucho			aya-		aya			ʔaya-	**tragar	Kn aya- ‘beber mucho’
204	§10	Marináwa	M	beber, tragar			áyá-		áyá			ʔaya-	**tragar	M áyá- ‘beber;;  tragar’
205	§10	Marúbo	Mar	beber, tragar			a-ki᷈ 		a-ki᷈ 		Cesarino2008	ʔaya-	**tragar	Mar a-ki᷈ (CESARINO;; 2008)
206	§10	Katukina	Kat	tomar			akai	1	** a k ai			ʔaya-	**tragar	Kat **akai ‘tomar’
207	§10	Shanenáwa	Shan	tragar	1	1	aya		aya			ʔaya-	**tragar	Shan aya
208	§10	Yawanawá	Yaw	tragar	1	1	aia		aia			ʔaya-	**tragar	Yaw aia
212	§10	Chanináwa	Chan	tragar	1	1	aya-i		aya i			ʔaya-	**tragar	Chan aya-i
213	§10	Sharanáwa	Shar	tragar	1	1	aya-i		aya i			ʔaya-	**tragar	Shar aya-i
214	§10	Korúbo	Ko	tragar	1	1	ak-	1	** a k			ʔaya-	**tragar	Ko **ak-
215	§10	Matís	Mt	beber			ak-kin	1	** a kk i n			ʔaya-	**tragar	Mt **ak-kin ‘beber’
216	§10	Mayorúna	My	beber			ak	1	** a k			ʔaya-	**tragar	My **ak ‘beber’
217	§11	Proto-Panoan	Proto	yo		1	ʔɨ		ʔ ɨ		Oliveira2014	ʔɨ	**yo	*ʔɨ ‘**yo’
218	§11	Kakataibo	Ksh	yo	1	1	ʔɨ-		ʔ ɨ			ʔɨ	**yo	Ksh ʔɨ-
219	§11	ShipiboKonibo	SK	yo	1	1	ʔɨ-		ʔ ɨ			ʔɨ	**yo	SK ʔɨ-
220	§11	Kapanawa	Kp	yo	1	1	ʔɨ-		ʔ ɨ			ʔɨ	**yo	Kp ʔɨ-
221	§11	Chákobo	Ch	yo			ɨ		ɨ	 A ɨ-		ʔɨ	**yo	Ch ɨ ‘yo’ A ɨ-
222	§11	Kaxinawá	Kn	yo	1	1	ɨ-		ɨ			ʔɨ	**yo	Kn ɨ-
223	§11	Marináwa	M	yo	1	1	ɨ		ɨ			ʔɨ	**yo	M ɨ
224	§12	Proto-Panoan	Proto	grande		0	ʔɨwa		ʔ ɨ w a		Oliveira2014	ʔɨwa	grande	*ʔɨwa ‘grande’
