ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	VALUE	TOKENS	MORPHEMES	COMMENT	SOURCE	PROTO_SET	ENTRY_IN_SOURCE	CONCEPT_IN_SOURCE	UNCERTAIN_COGNACY
53	( w ɨ a n + ) ʔ a n i ( - - - - - - )	336		big	Kapanawa	wɨˈan_ʔani		w ɨ a n + ʔ a n i		None		§4	Kp ʔani ‘grande’, wɨˈan ʔani ‘arroyo grande’		None
54	( - - - - - ) - ɐ̃ n i ( - - - - - - )	336		big	Marubo	ˈɐ̃ni-		ɐ̃ n i		None	Costa1992	§4	Mar ani [ˈɐ̃ni-] ‘grande’ (COSTA;; 1992)		None
55	( - - - - - ) ʔ a n i ( + h ɨ n ɨ - )	336		big	Chakobo	ʔani_hɨnɨ		ʔ a n i + h ɨ n ɨ		None		§4	Ch ʔani hɨnɨ ‘rio grande’, ani- ‘aumentar’ (ZINGG;; 1998)		None
56	( - - - - - ) - a n i ( - - - - - - )	336		big	Chakobo	ani-		a n i		None	Zingg1998	§4	Ch ʔani hɨnɨ ‘rio grande’, ani- ‘aumentar’ (ZINGG;; 1998)		None
57	( l a k i - ) ɦ a - i ( - - - - - - )	336		big	Kaxarari	lakiɦaˈi		l a k i ɦ a i		None		§4	Kax lakihani [lakiɦaˈi]		None
58	( - - - - - ) - a n i ( - ɸ o - - - )	336		big	Sharanawa	aniɸo		a n i ɸ o		None		§4	Shar aniɸo, aniɸoan ‘homem velho;;  ancião’		None
59	( - - - - - ) - a n i ( - ɸ o a n - )	336		big	Sharanawa	aniɸoan		a n i ɸ o a n		None		§4	Shar aniɸo, aniɸoan ‘homem velho;;  ancião’		None
60	( - - - - - ) - a n i ( - h u - - - )	336		big	Shanenawa	anihu		a n i h u		None		§4	Shan anihu ‘ancião’		None
61	( - - - - - ) - a n i ( + p a - - - )	336		big	Katukina	ani-pa		a n i + p a		None		§4	Kat ani-pa ‘grande’		None
62	( - - - - - ) - ã d i ( - β u - - - )	336		big	Poyanawa	ãdiβu		ã d i β u		None		§4	Poy ãdiβu ‘homem velho’		None
63	( - - - - - ) - a n i ( - b u - - - )	336		big	Kaxinawa	anibu		a n i b u		None		§4	Kn anibu ‘anciano;;  viejo’		None
64	( - - - - - ) - a n i ( + h u - - - )	336		old	Yawanawa	ani-hu		a n i + h u		None		§4	Yaw ani-hu ‘velho’		None
65	( - - - - - ) - a n i ( - m a ts ɨ k )	336		small	Korubo	animatsɨk		a n i m a ts ɨ k		None		§336	Ko animatsɨk ‘pequeno’		None
66	( - - - - - ) - a n i ( - - a - - - )	336		big	Mayoruna	ania		a n i a		None		§4	My ania ‘pequeno;;  delgado’		None
67	ʔ a n o ( - - - )	448		paca	Proto-Panoan	ʔano		ʔ a n o		None	Oliveira2014	§5	*ʔano ‘paca (Cuniculus paca)’		None
68	ʔ a n o ( - - - )	448		paca	Kakataibo	ʔano		ʔ a n o		None		§5	Ksh ʔano		None
69	ʔ a n o ( - - - )	448		paca	ShipiboKonibo	ʔano		ʔ a n o		None		§5	SK ʔano		None
70	ʔ a n o ( - - - )	448		paca	Kapanawa	ʔano		ʔ a n o		None		§5	Kp ʔano		None
71	ʔ a n o ( - - - )	448		paca	Chakobo	ʔano		ʔ a n o		None	Zingg1998	§5	Ch ʔano ‘jochi pintado’ (ZINGG;; 1998)		None
72	- a n a ( w ɨ - )	448		paca	Kaxarari	anawɨ		a n a w ɨ		None		§5	Kax anawɨ		None
73	- a n o ( - - - )	448		paca	Yaminawa	ano		a n o		None		§5	Yam ano, anõ ‘majás’		None
74	- a n õ ( - - - )	448		paca	Yaminawa	anõ		a n õ		None		§5	Yam ano, anõ ‘majás’		None
75	- a n o ( - - - )	448		paca	Sharanawa	ano		a n o		None		§5	Shar ano, anon ‘majás’		None
76	- a n o ( - - n )	448		paca	Sharanawa	anon		a n o n		None		§5	Shar ano, anon ‘majás’		None
77	- a n u ( - - - )	448		paca	Shanenawa	anu		a n u		None		§5	Shan anu		None
78	- a n o ( - - - )	448		paca	Katukina	ano		a n o		None		§5	Kat ano		None
79	ʔ a n ó/o ( - - - )	448		paca	Amawaka	ʔanó		ʔ a n ó/o		None	Hyde1980	§5	A ʔanó ‘majás;;  roedor pequeño’ (HYDE;; 1980), aˈno I		None
80	- a n o ( - - - )	448		paca	Amawaka	aˈno_I		a n o		None		§5	A ʔanó ‘majás;;  roedor pequeño’ (HYDE;; 1980), aˈno I		None
81	- a n u ( - - - )	448		paca	Kaxinawa	anu		a n u		None		§5	Kn anu		None
82	- a n o ( - - - )	448		paca	Marinawa	ano		a n o		None		§5	M ano ‘paca;;  clase de roedor’		None
83	- a n u ( - - - )	448		paca	Yawanawa	anu		a n u		None		§5	Yaw anu		None
84	ʔ a ʂ ( - )	473		intransitive suffix of concordance	Proto-Panoan	-ʔaʂ		ʔ a ʂ		None	Oliveira2014	§6	*-ʔaʂ ‘sufixo de concordância do intransitivo’		None
85	- a ʂ ( - )	473		intransitive suffix of concordance	Kakataibo	-aʂ		a ʂ		None		§6	Ksh -aʂ		None
86	- a ʂ ( - )	473		intransitive suffix of concordance	ShipiboKonibo	-aʂ		a ʂ		None		§6	SK -aʂ		None
87	ʔ a ʂ ( - )	473		intransitive suffix of concordance	Kapanawa	-ʔaʂ		ʔ a ʂ		None		§6	Kp -ʔaʂ		None
88	ʔ a ʂ ( - )	473		intransitive suffix of concordance	Chakobo	-ʔaʂ		ʔ a ʂ		None		§6	Ch -ʔaʂ		None
89	ʔ a x ( - )	473		intransitive suffix of concordance	Amawaka	ʔax		ʔ a x		None		§6	A ʔax		None
90	- a - ( - )	473		intransitive suffix of concordance	Kaxinawa	-a		a		None		§6	Kn -a		None
91	- a ʂ ( ɨ )	473		intransitive suffix of concordance	Marinawa	-aʂɨ		a ʂ ɨ		None		§6	M -aʂɨ		None
92	ʔ a ʂ a ( - ) n ( - - - - )	484		type of venom	Proto-Panoan	ʔaʂ[an]-		ʔ a ʂ a n		None	Oliveira2014	§7	*ʔaʂ[an]- ‘tipo de veneno’		None
93	ʔ a ʂ ã ( - ) - ( - - - - )	484		type of venom	Kakataibo	ʔaˈʂã-		ʔ a ʂ ã		None		§7	Ksh ʔaˈʂã- ‘pescar con veneno’		None
94	ʔ a ʂ ã ( - ) - ( - - - - )	484		type of venom	ShipiboKonibo	ʔaˈʂã-		ʔ a ʂ ã		None		§7	SK ʔaˈʂã-		None
95	ʔ a ʂ a ( - ) n ( - - - - )	484		type of venom	Kapanawa	ʔaˈʂan-		ʔ a ʂ a n		None		§7	Kp ʔaˈʂan-		None
96	ʔ a ʂ a ( - ) - ( - - - - )	484		type of venom	Chakobo	ʔaʂa-		ʔ a ʂ a		None		§7	Ch ʔaʂa- ‘pescar con veneno’		None
97	- a ʂ ã ( - ) - ( - - - - )	484		type of venom	Yaminawa	aʂã-		a ʂ ã		None	Faust2002	§7	Yam aʂã- (FAUST; LOOS;; 2002)		None
98	- a ʂ a ( i ) n ( - - - - )	484		type of venom	Sharanawa	aʂain		a ʂ a i n		None		§7	Shar aʂain, aʂaan ‘pescar com huaca o barbasco’		None
99	- a ʂ a ( a ) n ( - - - - )	484		type of venom	Sharanawa	aʂaan		a ʂ a a n		None		§7	Shar aʂain, aʂaan ‘pescar com huaca o barbasco’		None
100	ʔ a x ã ( - ) - ( - - - - )	484		type of venom	Amawaka	ʔaxã-_I		ʔ a x ã		None		§7	A ʔaxã- I		None
101	- a ʂ a ( - ) - ( - - - - )	484		type of venom	Kaxinawa	aʂa-		a ʂ a		None		§7	Kn aʂa- ‘veneno’, aʂã- ‘hacer;;  matar con veneno’		None
102	- a ʂ ã ( - ) - ( - - - - )	484		type of venom	Kaxinawa	aʂã-		a ʂ ã		None		§7	Kn aʂa- ‘veneno’, aʂã- ‘hacer;;  matar con veneno’		None
103	- a ʂ ã ( - ) - ( - - - - )	484		type of venom	Marinawa	ˈaʂã-		a ʂ ã		None		§7	M ˈaʂã-		None
104	- a ʃ a ( - ) n ( - - - - )	484		type of venom	Yawanawa	aʃan		a ʃ a n		None		§7	Yaw aʃan ‘pescaria’		None
105	- a ʂ - ( - ) - ( + k i n )	484		type of venom	Matis	aʂ-kin		a ʂ + k i n		None		§7	Mt aʂ-kin ‘ato de passar veneno na seta da zarabatana’		None
106	ʔ a w a ɽ ( - - - - - - - )	495		tapir	Proto-Panoan	ʔawaɽ		ʔ a w a ɽ		None	Oliveira2014	§8	*ʔawaɽ ‘anta (Tapirus terrestris)’		None
107	ʔ ɔ - ɔ - ( - - - - - - - )	495		tapir	Kakataibo	ʔɔˈɔ		ʔ ɔ ɔ		None		§8	Ksh ʔɔˈɔ		None
108	ʔ a w a - ( - - - - - - - )	495		tapir	ShipiboKonibo	ʔaˈwa		ʔ a w a		None		§8	SK ʔaˈwa ‘tapir’, ʔawarã piti ‘comida de tapir (nombre de planta)’		None
109	ʔ a w a - ( r ã + p i t i )	495		tapir	ShipiboKonibo	ʔawarã_piti		ʔ a w a r ã + p i t i		None		§8	SK ʔaˈwa ‘tapir’, ʔawarã piti ‘comida de tapir (nombre de planta)’		None
110	ʔ a w a - ( - - - - - - - )	495		tapir	Kapanawa	ʔaˈɯa		ʔ a w a		None		§8	Kp ʔaˈɯa;		None
111	- a w a - ( - - - - - - - )	495		tapir	Marubo	awa		a w a		None		§8	Mar awa		None
112	ʔ á/a w a - ( r a - - - - - )	495		tapir	Chakobo	ʔáwara		ʔ á/a w a r a		None		§8	Ch ʔáwara ‘tapir’, awá (ZINGG;; 1998)		None
113	- a w á/a - ( - - - - - - - )	495		tapir	Chakobo	awá		a w á/a		None	Zingg1998	§8	Ch ʔáwara ‘tapir’, awá (ZINGG;; 1998)		None
114	- a w a - ( tʃ a - - - - - )	495		tapir	Kaxarari	[awaˈtʃa]		a w a tʃ a		None		§8	Kax [awaˈtʃa]		None
115	- a ɸ a - ( - - - - - - - )	495		tapir	Yaminawa	aɸa		a ɸ a		None	Faust2002	§8	Yam aɸa (FAUST; LOOS;; 2002)		None
116	- a w a - ( - - - - - - - )	495		tapir	Sharanawa	awa		a w a		None		§8	Shar awa, awa-pan		None
117	- a w a - ( - - + p a n - )	495		tapir	Sharanawa	awa-pan		a w a + p a n		None		§8	Shar awa, awa-pan		None
118	- a w a - ( - - - - - - - )	495		tapir	Shanenawa	awa		a w a		None		§8	Shan awa		None
119	- a w a - ( - - - - - - - )	495		tapir	Katukina	awˈa		a w a		None	Barros1987	§8	Kat awa [awˈa] (BARROS;; 1987)		None
120	- a w a - ( - - - - - - - )	495		tapir	Poyanawa	awa		a w a		None		§8	Poy awa		None
121	ʔ á/a - á/a - ( - - - - - - - )	495		tapir	Amawaka	ʔáá		ʔ á/a á/a		None	Hyde1980	§8	A ʔáá (HYDE;; 1980), áá I		None
122	- á/a - á/a - ( - - - - - - - )	495		tapir	Amawaka	áá_I		á/a á/a		None		§8	A ʔáá (HYDE;; 1980), áá I		None
123	- a w a - ( - - - - - - - )	495		tapir	Kaxinawa	awa		a w a		None		§8	Kn awa		None
124	- á/a w a - ( - - - - - - - )	495		tapir	Marinawa	áwa		á/a w a		None		§8	M áwa		None
125	- a w a - ( - - - - - - - )	495		tapir	Yawanawa	aua		a w a		None		§8	Yaw aua		None
126	- a w a t ( - - - - - - - )	495		tapir	Korubo	awat		a w a t		None		§8	Ko awat		None
127	- a w a d ( - - - - - - - )	495		tapir	Matis	awad		a w a d		None		§8	Mt awad		None
128	- a w a d ( - - - - - - - )	495		tapir	Mayoruna	awad		a w a d		None		§8	My awad		None
129	ʔ a ( - ) w i rⁿ ( - - )	506		woman, wife	Proto-Panoan	ʔawi[n]		ʔ a w i rⁿ		None	Oliveira2014	§9	*ʔawi[n] ‘mulher;;  esposa’		None
130	- a ( - ) w ĩ - ( - - )	506		woman, wife	ShipiboKonibo	aˈwĩ		a w ĩ		None		§9	SK aˈwĩ		None
131	ʔ a ( - ) w i n ( - - )	506		woman, wife	Kapanawa	ʔaˈwin		ʔ a w i n		None		§9	Kp ʔaˈwin		None
132	- a ( - ) - ĩ - ( - - )	506		woman, wife	Marubo	aĩ		a ĩ		None	Cesarino2008	§9	Mar aĩ (CESARINO;; 2008), aˈĩ, aˈĩvɞ ‘mulher’ (COSTA;; 1992)		None
133	- a ( - ) - ĩ - ( - - )	506		woman, wife	Marubo	aˈĩ		a ĩ		None		§9	Mar aĩ (CESARINO;; 2008), aˈĩ, aˈĩvɞ ‘mulher’ (COSTA;; 1992)		None
134	- a ( ĩ ) v ɞ - ( - - )	506		woman, wife	Marubo	aˈĩvɞ		a ĩ v ɞ		None	Costa1992	§9	Mar aĩ (CESARINO;; 2008), aˈĩ, aˈĩvɞ ‘mulher’ (COSTA;; 1992)		None
135	ʔ a ( - ) w i - ( n i )	506		woman, wife	Chakobo	ʔaˈwini		ʔ a w i n i		(ver etimologias 3, 386,  498		§9	Ch ʔaˈwini ‘esposa’ (ver etimologias 3;; 386;;  498), awí (ZINGG;; 1998)		None
136	- a ( - ) w !í/i - ( - - )	506		woman, wife	Chakobo	awí		a w !í/i		None	Zingg1998	§9	Ch ʔaˈwini ‘esposa’ (ver etimologias 3;; 386;;  498), awí (ZINGG;; 1998)		None
137	- a ( - ) ɸ ĩ - ( - - )	506		woman, wife	Yaminawa	aɸĩ		a ɸ ĩ		None		§9	Yam aɸĩ, aɸinĩ‘esposa’ (FAUST; LOOS;; 2002)		None
138	- a ( - ) ɸ i - ( n ĩ )	506		woman, wife	Yaminawa	aɸinĩ		a ɸ i n ĩ		None	Faust2002	§9	Yam aɸĩ, aɸinĩ‘esposa’ (FAUST; LOOS;; 2002)		None
139	- a ( - ) w i n ( - - )	506		woman, wife	Shanenawa	awin		a w i n		None		§9	Shan awin		None
140	- a ( - ) - i n ( - - )	506		woman, wife	Katukina	ain		a i n		None		§9	Kat ain		None
141	- a ( - ) w ĩ - ( - - )	506		woman, wife	Poyanawa	awĩ		a w ĩ		None		§9	Poy awĩ		None
142	ʔ a ( - ) - !í/i n ( - - )	506		woman, wife	Amawaka	ʔaín		ʔ a !í/i n		None		§9	A ʔaín, ʔáiní (HYDE;; 1980), ãĩ		None
143	ʔ !á/a ( - ) - i - ( n !í/i )	506		woman, wife	Amawaka	ʔáiní		ʔ !á/a i n !í/i		None	Hyde1980	§9	A ʔaín, ʔáiní (HYDE;; 1980), ãĩ		None
144	- ã ( - ) - ĩ - ( - - )	506		woman, wife	Amawaka	ãĩ		ã ĩ		None		§9	A ʔaín, ʔáiní (HYDE;; 1980), ãĩ		None
145	- ã ( - ) - ĩ - ( - - )	506		woman, wife	Kaxinawa	ãĩ		ã ĩ		None		§9	Kn ãĩ		None
146	- ã ( - ) w ĩ - ( - - )	506		woman, wife	Marinawa	ˈãwĩ		ã w ĩ		None		§9	M ˈãwĩ		None
147	- a ( - ) w i n ( - - )	506		woman, wife	Yawanawa	auin		a w i n		None		§9	Yaw auin		None
148	- a ( - ) w i n ( - - )	506		woman, wife	Korubo	awin		a w i n		None		§9	Ko awin		None
149	- a ( - ) w i n ( - - )	506		woman, wife	Matis	awin		a w i n		None		§9	Mt awin		None
150	- a ( - ) w i n ( - - )	506		woman, wife	Mayoruna	awin		a w i n		None		§9	My awin		None
151	ʔ a w ĩ β o	517		woman, wife	Proto-Panoan	ʔawĩβo		ʔ a w ĩ β o		None	Oliveira2014	§9a	*ʔawĩβo		None
152	ʔ a - ĩ β o	517		woman, wife	ShipiboKonibo	ʔaˈĩβo		ʔ a ĩ β o		None		§9a	SK ʔaˈĩβo		None
153	- a - !í/i β o	517		woman, wife	Kapanawa	aíβo		a !í/i β o		None		§9a	Kp aíβo		None
154	- ã - ĩ b u	517		woman, wife	Kaxinawa	ãĩbu		ã ĩ b u		None		§9a	Kn ãĩbu		None
155	- ã - ĩ ɸ o	517		woman, wife	Marinawa	ãĩɸo		ã ĩ ɸ o		None		§9a	M ãĩɸo ‘mujer’		None
156	ʔ a j a ( - - - - - - - )	2		to devour	Proto-Panoan	ʔaya-		ʔ a j a		None	Oliveira2014	§10	*ʔaya- ‘**tragar’		None
157	ʔ e - e ( - - - - - - - )	2		to devour	Kakataibo	ʔee-		ʔ e e		None		§10	Ksh ʔee- ‘tragar’, ʔe-ti ‘tragar’ (SHELL;; 1987)		None
158	ʔ e - - ( - + t i - - - )	2		to devour	Kakataibo	ʔe-ti		ʔ e + t i		None	Shell1987	§10	Ksh ʔee- ‘tragar’, ʔe-ti ‘tragar’ (SHELL;; 1987)		None
159	ʔ a - - ( ʔ + k i - n - )	2		to devour	Kapanawa	ʔaʔ-kin		ʔ a ʔ + k i n		None	Loos1998	§10	Kp ʔaʔ-kin ‘tomar;; beber’ (LOOS; LOOS;; 1998)		None
160	- a - - ( - + k a i n a )	2		to devour	Chakobo	a-kaina		a + k a i n a		None	Zingg1998	§10	Ch a-kaina (ZINGG;; 1998)		None
161	ʔ á/a j a ( - + k i - n - )	2		to devour	Amawaka	ʔáya-_kin		ʔ á/a j a + k i n		None	Hyde1980	§10	A ʔáya- kin ‘tomar;;  beber’ (HYDE;; 1980), aya- II		None
162	- a j a ( - - - - - - - )	2		to devour	Amawaka	aya-		a j a		II		§10	A ʔáya- kin ‘tomar;;  beber’ (HYDE;; 1980), aya- II		None
163	- a j a ( - - - - - - - )	2		to devour	Kaxinawa	aya-		a j a		None		§10	Kn aya- ‘beber mucho’		None
164	- á/a j á/a ( - - - - - - - )	2		to devour	Marinawa	áyá-		á/a j á/a		None		§10	M áyá- ‘beber;;  tragar’		None
165	- a - - ( - + k ĩ - - - )	2		to devour	Marubo	a-kĩ		a + k ĩ		None	Cesarino2008	§10	Mar a-kĩ (CESARINO;; 2008)		None
166	( a - - k a i )	627		to devour	Katukina	akai		a k a i		None		§10	Kat **akai ‘tomar’		1
167	- a j a ( - - - - - - - )	2		to devour	Shanenawa	aya		a j a		None		§10	Shan aya		None
168	- a j a ( - - - - - - - )	2		to devour	Yawanawa	aia		a j a		None		§10	Yaw aia		None
169	- a j a ( - + - i - - - )	2		to devour	Chaninawa	aya-i		a j a + i		None		§10	Chan aya-i		None
170	- a j a ( - + - i - - - )	2		to devour	Sharanawa	aya-i		a j a + i		None		§10	Shar aya-i		None
171	( a - - k - - )	779		to devour	Korubo	ak-		a k		None		§10	Ko **ak-		1
172	( a k + k i n )	780		to devour	Matis	ak-kin		a k + k i n		None		§10	Mt **ak-kin ‘beber’		1
173	( a - - k - - )	781		to devour	Mayoruna	ak		a k		None		§10	My **ak ‘beber’		1
174	ʔ ɨ	13		I	Proto-Panoan	ʔɨ		ʔ ɨ		None	Oliveira2014	§11	*ʔɨ ‘**yo’		None
175	ʔ ɨ	13		I	Kakataibo	ʔɨ-		ʔ ɨ		None		§11	Ksh ʔɨ-		None
176	ʔ ɨ	13		I	ShipiboKonibo	ʔɨ-		ʔ ɨ		None		§11	SK ʔɨ-		None
177	ʔ ɨ	13		I	Kapanawa	ʔɨ-		ʔ ɨ		None		§11	Kp ʔɨ-		None
178	- ɨ	13		I	Chakobo	ɨ		ɨ		None		§11	Ch ɨ ‘yo’		None
179	- ɨ	13		I	Amawaka	ɨ-		ɨ		None		§11	A ɨ-		None
180	- ɨ	13		I	Kaxinawa	ɨ-		ɨ		None		§11	Kn ɨ-		None
181	- ɨ	13		I	Marinawa	ɨ		ɨ		None		§11	M ɨ		None
182	( - - - - - - ) ʔ ɨ w a ( - - - - - - - - - - - - )	24		big	Proto-Panoan	ʔɨwa		ʔ ɨ w a		None	Oliveira2014	§12	*ʔɨwa ‘grande’		None
183	( - - - - - - ) ʔ ĩ - ɔ ( - - - - - - - - - - - - )	24		big	Kakataibo	ʔĩɔ		ʔ ĩ ɔ		None		§12	Ksh ʔĩɔ, -ɔ ‘grande;; importante;; excessive;;  enorme’, **-on;;  -an (ZARIQUIEY;; 2011)		None
184	( - - - - - ɔ ) - - - - ( - - - - - - - - - - - - )	24		big	Kakataibo	-ɔ		ɔ		None		§12	Ksh ʔĩɔ, -ɔ ‘grande;; importante;; excessive;;  enorme’, **-on;;  -an (ZARIQUIEY;; 2011)		None
185	( - - - - - o ) - - - - ( - - - n - - - - - - - - )	556		big	Kakataibo	-on		o n		None	Zariquiey2011	§12	Ksh ʔĩɔ, -ɔ ‘grande;; importante;; excessive;;  enorme’, **-on;;  -an (ZARIQUIEY;; 2011)		1
186	( - - - - - - ) ʔ ɨ w a ( - - - - - - - - - - - - )	24		big	ShipiboKonibo	ʔɨwa		ʔ ɨ w a		None		§12	SK ʔɨwa		None
187	( - - - - - a ) ʔ - w a ( - - - n - - - - - - - - )	24		big	Kapanawa	aʔwan		a ʔ w a n		None		§12	Kp aʔwan, iʔwan, ʔwan ‘gigantesco;; enorme;;  tremendo’ (LOOS; LOOS;; 1998), -wan		None
188	( - - - - - i ) ʔ - w a ( - - - n - - - - - - - - )	24		big	Kapanawa	iʔwan		i ʔ w a n		None		§12	Kp aʔwan, iʔwan, ʔwan ‘gigantesco;; enorme;;  tremendo’ (LOOS; LOOS;; 1998), -wan		None
