ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment,Morphemes,UncertainCognacy,ConceptInSource,ProtoSet,EntryInSource,GroupedSounds
Marinawa-2_capivara-2,,Marinawa,2_capivara,ˈʔamɨno,ˈʔamɨno,ʔ a m ɨ n o,None,Oliveira2014,226,,,,ʔ a m ɨ n ( o ),[],None,,§3,"M ˈamɨ̃ , ˈʔamɨno ‘capibara’","['ʔ', 'a', 'm', 'ɨ', 'n', 'o']"
Yawanawa-2_capivara-1,,Yawanawa,2_capivara,aman,aman,a m a n,None,Oliveira2014,226,,,,- a m a n ( - ),[],None,,§3,Yaw aman,"['a', 'm', 'a', 'n']"
Proto-Panoan-12_grande-1,,Proto-Panoan,12_grande,ʔani,ʔani,ʔ a n i,None,Oliveira2014,336,,,,( - - - - - ) ʔ a n i ( - - - - - - ),[],None,,§4,*ʔani ‘grande’,"['ʔ', 'a', 'n', 'i']"
Kakataibo-2_capivara-2,,Kakataibo,2_capivara,ʔani,ʔani,ʔ a n i,None,Zariquiey2011,336,,,,( - - - - - ) ʔ a n i ( - - - - - - ),[],None,,§4,Ksh ʔani (ZARIQUIEY;; 2011),"['ʔ', 'a', 'n', 'i']"
ShipiboKonibo-12_grande-1,,ShipiboKonibo,12_grande,ʔani,ʔani,ʔ a n i,None,Oliveira2014,336,,,,( - - - - - ) ʔ a n i ( - - - - - - ),[],None,,§4,SK ʔani,"['ʔ', 'a', 'n', 'i']"
Kapanawa-12_grande-1,,Kapanawa,12_grande,ʔani,ʔani,ʔ a n i,None,Oliveira2014,336,,,,( - - - - - ) ʔ a n i ( - - - - - - ),[],None,,§4,"Kp ʔani ‘grande’, wɨˈan ʔani ‘arroyo grande’","['ʔ', 'a', 'n', 'i']"
Kapanawa-12_grande-2,,Kapanawa,12_grande,wɨˈan_ʔani,wɨˈan_ʔani,w ɨ a n + ʔ a n i,None,Oliveira2014,336,,,,( w ɨ a n + ) ʔ a n i ( - - - - - - ),[],None,,§4,"Kp ʔani ‘grande’, wɨˈan ʔani ‘arroyo grande’","['w', 'ɨ', 'a', 'n', '+', 'ʔ', 'a', 'n', 'i']"
Marubo-12_grande-1,,Marubo,12_grande,ˈɐ̃ni-,ˈɐ̃ni-,!ɐ̃/a n i,None,Costa1992,336,,,,( - - - - - ) - !ɐ̃/a n i ( - - - - - - ),[],None,,§4,Mar ani [ˈɐ̃ni-] ‘grande’ (COSTA;; 1992),"['!ɐ̃/a', 'n', 'i']"
Chakobo-12_grande-1,,Chakobo,12_grande,ʔani_hɨnɨ,ʔani_hɨnɨ,ʔ a n i + h ɨ n ɨ,None,Oliveira2014,336,,,,( - - - - - ) ʔ a n i ( + h ɨ n ɨ - ),[],None,,§4,"Ch ʔani hɨnɨ ‘rio grande’, ani- ‘aumentar’ (ZINGG;; 1998)","['ʔ', 'a', 'n', 'i', '+', 'h', 'ɨ', 'n', 'ɨ']"
Chakobo-12_grande-2,,Chakobo,12_grande,ani-,ani-,a n i,None,Zingg1998,336,,,,( - - - - - ) - a n i ( - - - - - - ),[],None,,§4,"Ch ʔani hɨnɨ ‘rio grande’, ani- ‘aumentar’ (ZINGG;; 1998)","['a', 'n', 'i']"
Kaxarari-12_grande-1,,Kaxarari,12_grande,lakiɦaˈi,lakiɦaˈi,l a k i ɦ a i,None,Oliveira2014,336,,,,( l a k i - ) ɦ a - i ( - - - - - - ),[],None,,§4,Kax lakihani [lakiɦaˈi],"['l', 'a', 'k', 'i', 'ɦ', 'a', 'i']"
Sharanawa-12_grande-1,,Sharanawa,12_grande,aniɸo,aniɸo,a n i ɸ o,None,Oliveira2014,336,,,,( - - - - - ) - a n i ( - ɸ o - - - ),[],None,,§4,"Shar aniɸo, aniɸoan ‘homem velho;;  ancião’","['a', 'n', 'i', 'ɸ', 'o']"
Sharanawa-12_grande-2,,Sharanawa,12_grande,aniɸoan,aniɸoan,a n i ɸ o a n,None,Oliveira2014,336,,,,( - - - - - ) - a n i ( - ɸ o a n - ),[],None,,§4,"Shar aniɸo, aniɸoan ‘homem velho;;  ancião’","['a', 'n', 'i', 'ɸ', 'o', 'a', 'n']"
Shanenawa-12_grande-1,,Shanenawa,12_grande,anihu,anihu,a n i h u,None,Oliveira2014,336,,,,( - - - - - ) - a n i ( - h u - - - ),[],None,,§4,Shan anihu ‘ancião’,"['a', 'n', 'i', 'h', 'u']"
Katukina-12_grande-1,,Katukina,12_grande,ani-pa,ani-pa,a n i + p a,None,Oliveira2014,336,,,,( - - - - - ) - a n i ( + p a - - - ),[],None,,§4,Kat ani-pa ‘grande’,"['a', 'n', 'i', '+', 'p', 'a']"
Poyanawa-12_grande-1,,Poyanawa,12_grande,ãdiβu,ãdiβu,!ã/a d i β u,None,Oliveira2014,336,,,,( - - - - - ) - !ã/a d i ( - β u - - - ),[],None,,§4,Poy ãdiβu ‘homem velho’,"['!ã/a', 'd', 'i', 'β', 'u']"
Kaxinawa-12_grande-1,,Kaxinawa,12_grande,anibu,anibu,a n i b u,None,Oliveira2014,336,,,,( - - - - - ) - a n i ( - b u - - - ),[],None,,§4,Kn anibu ‘anciano;;  viejo’,"['a', 'n', 'i', 'b', 'u']"
Yawanawa-415_velho-1,,Yawanawa,415_velho,ani-hu,ani-hu,a n i + h u,None,Oliveira2014,336,,,,( - - - - - ) - a n i ( + h u - - - ),[],None,,§4,Yaw ani-hu ‘velho’,"['a', 'n', 'i', '+', 'h', 'u']"
Korubo-429_pequeno-1,,Korubo,429_pequeno,animatsɨk,animatsɨk,a n i m a ts ɨ k,None,Oliveira2014,336,,,,( - - - - - ) - a n i ( - m a ts ɨ k ),[],None,,§336,Ko animatsɨk ‘pequeno’,"['a', 'n', 'i', 'm', 'a', 'ts', 'ɨ', 'k']"
Mayoruna-12_grande-1,,Mayoruna,12_grande,ania,ania,a n i a,None,Oliveira2014,336,,,,( - - - - - ) - a n i ( - - a - - - ),[],None,,§4,My ania ‘pequeno;;  delgado’,"['a', 'n', 'i', 'a']"
Proto-Panoan-1040_paca-1,,Proto-Panoan,1040_paca,ʔano,ʔano,ʔ a n o,None,Oliveira2014,448,,,,ʔ a n o ( - - - ),[],None,,§5,*ʔano ‘paca (Cuniculus paca)’,"['ʔ', 'a', 'n', 'o']"
Kakataibo-1040_paca-1,,Kakataibo,1040_paca,ʔano,ʔano,ʔ a n o,None,Oliveira2014,448,,,,ʔ a n o ( - - - ),[],None,,§5,Ksh ʔano,"['ʔ', 'a', 'n', 'o']"
ShipiboKonibo-1040_paca-1,,ShipiboKonibo,1040_paca,ʔano,ʔano,ʔ a n o,None,Oliveira2014,448,,,,ʔ a n o ( - - - ),[],None,,§5,SK ʔano,"['ʔ', 'a', 'n', 'o']"
Kapanawa-1040_paca-1,,Kapanawa,1040_paca,ʔano,ʔano,ʔ a n o,None,Oliveira2014,448,,,,ʔ a n o ( - - - ),[],None,,§5,Kp ʔano,"['ʔ', 'a', 'n', 'o']"
Chakobo-1040_paca-1,,Chakobo,1040_paca,ʔano,ʔano,ʔ a n o,None,Zingg1998,448,,,,ʔ a n o ( - - - ),[],None,,§5,Ch ʔano ‘jochi pintado’ (ZINGG;; 1998),"['ʔ', 'a', 'n', 'o']"
Kaxarari-1040_paca-1,,Kaxarari,1040_paca,anawɨ,anawɨ,a n a w ɨ,None,Oliveira2014,448,,,,- a n a ( w ɨ - ),[],None,,§5,Kax anawɨ,"['a', 'n', 'a', 'w', 'ɨ']"
Yaminawa-1040_paca-1,,Yaminawa,1040_paca,ano,ano,a n o,None,Oliveira2014,448,,,,- a n o ( - - - ),[],None,,§5,"Yam ano, anõ ‘majás’","['a', 'n', 'o']"
Yaminawa-1040_paca-2,,Yaminawa,1040_paca,anõ,anõ,a n !õ/o,None,Oliveira2014,448,,,,- a n !õ/o ( - - - ),[],None,,§5,"Yam ano, anõ ‘majás’","['a', 'n', '!õ/o']"
Sharanawa-1040_paca-1,,Sharanawa,1040_paca,ano,ano,a n o,None,Oliveira2014,448,,,,- a n o ( - - - ),[],None,,§5,"Shar ano, anon ‘majás’","['a', 'n', 'o']"
Sharanawa-1040_paca-2,,Sharanawa,1040_paca,anon,anon,a n o n,None,Oliveira2014,448,,,,- a n o ( - - n ),[],None,,§5,"Shar ano, anon ‘majás’","['a', 'n', 'o', 'n']"
Shanenawa-1040_paca-1,,Shanenawa,1040_paca,anu,anu,a n u,None,Oliveira2014,448,,,,- a n u ( - - - ),[],None,,§5,Shan anu,"['a', 'n', 'u']"
Katukina-1040_paca-1,,Katukina,1040_paca,ano,ano,a n o,None,Oliveira2014,448,,,,- a n o ( - - - ),[],None,,§5,Kat ano,"['a', 'n', 'o']"
Amawaka-1040_paca-1,,Amawaka,1040_paca,ʔanó,ʔanó,ʔ a n !ó/o,None,Hyde1980,448,,,,ʔ a n !ó/o ( - - - ),[],None,,§5,"A ʔanó ‘majás;;  roedor pequeño’ (HYDE;; 1980), aˈno I","['ʔ', 'a', 'n', '!ó/o']"
Amawaka-1040_paca-2,,Amawaka,1040_paca,aˈno_I,aˈno_I,!/ʔ a n o,None,Oliveira2014,448,,,,!/ʔ a n o ( - - - ),[],None,,§5,"A ʔanó ‘majás;;  roedor pequeño’ (HYDE;; 1980), aˈno I","['!/ʔ', 'a', 'n', 'o']"
Kaxinawa-1040_paca-1,,Kaxinawa,1040_paca,anu,anu,a n u,None,Oliveira2014,448,,,,- a n u ( - - - ),[],None,,§5,Kn anu,"['a', 'n', 'u']"
Marinawa-1040_paca-1,,Marinawa,1040_paca,ano,ano,a n o,None,Oliveira2014,448,,,,- a n o ( - - - ),[],None,,§5,M ano ‘paca;;  clase de roedor’,"['a', 'n', 'o']"
Yawanawa-1040_paca-1,,Yawanawa,1040_paca,anu,anu,a n u,None,Oliveira2014,448,,,,- a n u ( - - - ),[],None,,§5,Yaw anu,"['a', 'n', 'u']"
Proto-Panoan-5_sufixodeconcordanciadointransitivo-1,,Proto-Panoan,5_sufixodeconcordanciadointransitivo,-ʔaʂ,-ʔaʂ,ʔ a ʂ,None,Oliveira2014,473,,,,ʔ a ʂ ( - ),[],None,,§6,*-ʔaʂ ‘sufixo de concordância do intransitivo’,"['ʔ', 'a', 'ʂ']"
Kakataibo-5_sufixodeconcordanciadointransitivo-1,,Kakataibo,5_sufixodeconcordanciadointransitivo,-aʂ,-aʂ,a ʂ,None,Oliveira2014,473,,,,- a ʂ ( - ),[],None,,§6,Ksh -aʂ,"['a', 'ʂ']"
ShipiboKonibo-5_sufixodeconcordanciadointransitivo-1,,ShipiboKonibo,5_sufixodeconcordanciadointransitivo,-aʂ,-aʂ,a ʂ,None,Oliveira2014,473,,,,- a ʂ ( - ),[],None,,§6,SK -aʂ,"['a', 'ʂ']"
Kapanawa-5_sufixodeconcordanciadointransitivo-1,,Kapanawa,5_sufixodeconcordanciadointransitivo,-ʔaʂ,-ʔaʂ,ʔ a ʂ,None,Oliveira2014,473,,,,ʔ a ʂ ( - ),[],None,,§6,Kp -ʔaʂ,"['ʔ', 'a', 'ʂ']"
Chakobo-5_sufixodeconcordanciadointransitivo-1,,Chakobo,5_sufixodeconcordanciadointransitivo,-ʔaʂ,-ʔaʂ,ʔ a ʂ,None,Oliveira2014,473,,,,ʔ a ʂ ( - ),[],None,,§6,Ch -ʔaʂ,"['ʔ', 'a', 'ʂ']"
Amawaka-5_sufixodeconcordanciadointransitivo-1,,Amawaka,5_sufixodeconcordanciadointransitivo,ʔax,ʔax,ʔ a x,None,Oliveira2014,473,,,,ʔ a x ( - ),[],None,,§6,A ʔax,"['ʔ', 'a', 'x']"
Kaxinawa-5_sufixodeconcordanciadointransitivo-1,,Kaxinawa,5_sufixodeconcordanciadointransitivo,-a,-a,a,None,Oliveira2014,473,,,,- a - ( - ),[],None,,§6,Kn -a,['a']
Marinawa-5_sufixodeconcordanciadointransitivo-1,,Marinawa,5_sufixodeconcordanciadointransitivo,-aʂɨ,-aʂɨ,a ʂ ɨ,None,Oliveira2014,473,,,,- a ʂ ( ɨ ),[],None,,§6,M -aʂɨ,"['a', 'ʂ', 'ɨ']"
Proto-Panoan-6_tipodeveneno-1,,Proto-Panoan,6_tipodeveneno,ʔaʂ[an]-,ʔaʂ[an]-,ʔ a ʂ a n,None,Oliveira2014,484,,,,ʔ a ʂ a n ( - - - - ),[],None,,§7,*ʔaʂ[an]- ‘tipo de veneno’,"['ʔ', 'a', 'ʂ', 'a', 'n']"
Kakataibo-6_tipodeveneno-1,,Kakataibo,6_tipodeveneno,ʔaˈʂã-,ʔaˈʂã-,ʔ a ʂ a ~,None,Oliveira2014,484,,,,ʔ a ʂ a ~ ( - - - - ),[],None,,§7,Ksh ʔaˈʂã- ‘pescar con veneno’,"['ʔ', 'a', 'ʂ', 'a', '~']"
ShipiboKonibo-6_tipodeveneno-1,,ShipiboKonibo,6_tipodeveneno,ʔaˈʂã-,ʔaˈʂã-,ʔ a ʂ a ~,None,Oliveira2014,484,,,,ʔ a ʂ a ~ ( - - - - ),[],None,,§7,SK ʔaˈʂã-,"['ʔ', 'a', 'ʂ', 'a', '~']"
Kapanawa-6_tipodeveneno-1,,Kapanawa,6_tipodeveneno,ʔaˈʂan-,ʔaˈʂan-,ʔ a ʂ a n,None,Oliveira2014,484,,,,ʔ a ʂ a n ( - - - - ),[],None,,§7,Kp ʔaˈʂan-,"['ʔ', 'a', 'ʂ', 'a', 'n']"
Chakobo-6_tipodeveneno-1,,Chakobo,6_tipodeveneno,ʔaʂa-,ʔaʂa-,ʔ a ʂ a,None,Oliveira2014,484,,,,ʔ a ʂ a - ( - - - - ),[],None,,§7,Ch ʔaʂa- ‘pescar con veneno’,"['ʔ', 'a', 'ʂ', 'a']"
Yaminawa-6_tipodeveneno-1,,Yaminawa,6_tipodeveneno,aʂã-,aʂã-,a ʂ a ~,None,Faust2002,484,,,,- a ʂ a ~ ( - - - - ),[],None,,§7,Yam aʂã- (FAUST; LOOS;; 2002),"['a', 'ʂ', 'a', '~']"
Sharanawa-6_tipodeveneno-1,,Sharanawa,6_tipodeveneno,aʂain,aʂain,a ʂ !ai/a n,None,Oliveira2014,484,,,,- a ʂ !ai/a n ( - - - - ),[],None,,§7,"Shar aʂain, aʂaan ‘pescar com huaca o barbasco’","['a', 'ʂ', '!ai/a', 'n']"
Sharanawa-6_tipodeveneno-2,,Sharanawa,6_tipodeveneno,aʂaan,aʂaan,a ʂ a n,None,Oliveira2014,484,,,,- a ʂ a n ( - - - - ),[],None,,§7,"Shar aʂain, aʂaan ‘pescar com huaca o barbasco’","['a', 'ʂ', 'a', 'n']"
Amawaka-6_tipodeveneno-1,,Amawaka,6_tipodeveneno,ʔaxã-_I,ʔaxã-_I,ʔ a x a ~,None,Oliveira2014,484,,,,ʔ a x a ~ ( - - - - ),[],None,,§7,A ʔaxã- I,"['ʔ', 'a', 'x', 'a', '~']"
Kaxinawa-6_tipodeveneno-1,,Kaxinawa,6_tipodeveneno,aʂa-,aʂa-,a ʂ a,None,Oliveira2014,484,,,,- a ʂ a - ( - - - - ),[],None,,§7,"Kn aʂa- ‘veneno’, aʂã- ‘hacer;;  matar con veneno’","['a', 'ʂ', 'a']"
Kaxinawa-6_tipodeveneno-2,,Kaxinawa,6_tipodeveneno,aʂã-,aʂã-,a ʂ a ~,None,Oliveira2014,484,,,,- a ʂ a ~ ( - - - - ),[],None,,§7,"Kn aʂa- ‘veneno’, aʂã- ‘hacer;;  matar con veneno’","['a', 'ʂ', 'a', '~']"
Marinawa-6_tipodeveneno-1,,Marinawa,6_tipodeveneno,ˈaʂã-,ˈaʂã-,a ʂ a ~,None,Oliveira2014,484,,,,- a ʂ a ~ ( - - - - ),[],None,,§7,M ˈaʂã-,"['a', 'ʂ', 'a', '~']"
Yawanawa-6_tipodeveneno-1,,Yawanawa,6_tipodeveneno,aʃan,aʃan,a ʃ a n,None,Oliveira2014,484,,,,- a ʃ a n ( - - - - ),[],None,,§7,Yaw aʃan ‘pescaria’,"['a', 'ʃ', 'a', 'n']"
Matis-6_tipodeveneno-1,,Matis,6_tipodeveneno,aʂ-kin,aʂ-kin,a ʂ + k i n,None,Oliveira2014,484,,,,- a ʂ - - ( + k i n ),[],None,,§7,Mt aʂ-kin ‘ato de passar veneno na seta da zarabatana’,"['a', 'ʂ', '+', 'k', 'i', 'n']"
Proto-Panoan-26_tapir-1,,Proto-Panoan,26_tapir,ʔawaɽ,ʔawaɽ,ʔ a w a ɽ,None,Oliveira2014,495,,,,ʔ a w a ɽ ( - - - - - - ),[],None,,§8,*ʔawaɽ ‘anta (Tapirus terrestris)’,"['ʔ', 'a', 'w', 'a', 'ɽ']"
Kakataibo-26_tapir-1,,Kakataibo,26_tapir,ʔɔˈɔ,ʔɔˈɔ,ʔ ɔ ɔ,None,Oliveira2014,495,,,,ʔ ɔ - ɔ - ( - - - - - - ),[],None,,§8,Ksh ʔɔˈɔ,"['ʔ', 'ɔ', 'ɔ']"
